,REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT,human100km,human50km,human25km
83,1590,2005,SW Pacific,Indo-Pacific,9.4,16.9,0.06915,159.825,-18.88667,0,0,0
84,1591,2005,SW Pacific,Indo-Pacific,11.3,15.9,0.19162,159.8025,-18.84333,0,0,0
85,1592,2003,W Indonesia,Indo-Pacific,10.6,19.1,0.04218,115.65075,-8.33533,5603927,1249007,331136
86,1593,2003,E Indonesia_PNG,Indo-Pacific,1.9,56.3,-1.79651,121.59056,-0.83111,226573,74445,43278
87,1594,2003,E Indonesia_PNG,Indo-Pacific,2.2,34.4,-0.93734,121.59269,-0.839,228888,74758,44534
88,1595,2003,E Indonesia_PNG,Indo-Pacific,8.8,33.8,-0.6113,121.61333,-0.8175,226736,80313,41600
89,1596,2003,E Indonesia_PNG,Indo-Pacific,1.3,48.8,-1.53562,121.62117,-0.81103,226618,80104,40606
90,1597,2004,E Indonesia_PNG,Indo-Pacific,12.5,31.9,-0.36637,125.64231,-8.13675,395318,56666,13905
91,1598,2004,E Indonesia_PNG,Indo-Pacific,29.4,19.4,0.89269,125.64447,-8.17031,416530,87917,13775
92,1599,2002,GBR,GBR,16.3,21.3,0.21647,145.981,-16.46414,169205,18837,0
93,1602,2005,E. Indian Ocean,Indo-Pacific,0.6,20.6,-0.47821,95.38689,5.68533,1036363,542131,349990
94,1603,2005,Philippines_Spra,Indo-Pacific,5.6,27.5,-0.51369,123.77522,11.213,4614290,494173,197273
95,1604,2005,Philippines_Spra,Indo-Pacific,12.5,32.5,-0.39051,123.77514,11.21264,4668698,500833,198729
96,1605,2004,E Indonesia_PNG,Indo-Pacific,14.4,43.8,-0.73872,125.63814,-8.18631,423935,97861,13529
97,1606,2000,E Indonesia_PNG,Indo-Pacific,21.9,43.8,-0.39369,123.98189,-5.88872,106473,51401,35714
98,1610,2000,SW Pacific,Indo-Pacific,6.3,43.1,-1.08837,179.28028,-16.83361,146160,77158,9458
99,1611,2004,E Indonesia_PNG,Indo-Pacific,30.9,32.5,0.45769,125.63019,-8.20044,434999,112417,13433
100,1613,1997,South China Sea,Indo-Pacific,23.1,45,-0.38446,104.53056,1.19861,6208328,370940,184267
101,1614,1997,South China Sea,Indo-Pacific,4.7,27.5,-0.55682,104.53472,1.2125,6181691,361018,126797
102,1615,2005,Philippines_Spra,Indo-Pacific,1.9,17.7,-0.30806,124.10236,10.98992,5216667,893492,259462
103,1616,2005,Philippines_Spra,Indo-Pacific,5,28.8,-0.59072,123.67917,9.51536,4732898,846377,78615
104,1617,2001,Philippines_Spra,Indo-Pacific,1.3,16.9,-0.30463,123.8295,9.7375,5515606,1118809,359392
105,1621,2006,SE Pacific,Indo-Pacific,17.5,23.8,0.17743,-151.72039,-16.47956,31094,18974,8123
106,1622,2006,SE Pacific,Indo-Pacific,0.6,41.3,-1.27473,-151.72703,-16.54239,31094,23362,9916
107,1623,2006,SE Pacific,Indo-Pacific,3.8,56.3,-1.71026,-151.72844,-16.53528,31094,21106,9144
108,1624,2004,SE Pacific,Indo-Pacific,1.3,66.3,-2.21146,-151.72986,-16.53478,31094,21106,9144
109,1627,2003,SE Pacific,Indo-Pacific,4.4,48.8,-1.39186,-151.74078,-16.54269,31094,21106,9144
110,1628,2006,SE Pacific,Indo-Pacific,6.3,55.6,-1.57111,-151.74786,-16.53528,31094,21106,8123
111,1629,2006,SE Pacific,Indo-Pacific,6.9,16.9,-0.04586,-151.75733,-16.49903,31094,18974,7994
112,1630,2006,SE Pacific,Indo-Pacific,3.1,6.3,0.19196,-151.76419,-16.50692,31094,18974,7994
113,1631,2003,SE Pacific,Indo-Pacific,1.3,10.6,-0.06326,-151.77222,-16.55619,31094,21106,8060
114,1637,2006,SE Pacific,Indo-Pacific,16.3,15.6,0.43371,-151.72819,-16.52967,31094,21106,9144
115,1638,2006,SE Pacific,Indo-Pacific,10.6,6.9,0.51285,-151.77228,-16.52953,31094,19338,7994
116,1639,2003,GBR,GBR,6.9,2.5,0.5093,152.49103,-24.88278,167724,84352,66236
117,1640,2004,GBR,GBR,36.6,20.3,1.18714,145.98333,-16.46139,168850,11689,0
118,1641,2003,GBR,GBR,23.8,33.1,0.1029,145.69067,-14.66336,143,0,0
119,1643,2003,GBR,GBR,13.1,16.3,0.26581,145.99028,-16.52942,171877,52446,0
120,1644,2005,GBR,GBR,1.3,35,-1.00461,145.99517,-16.46139,168523,8412,0
121,1645,2003,GBR,GBR,17.5,11.9,0.63603,146.01531,-16.52942,170834,34774,0
122,1646,2003,GBR,GBR,41.3,19.4,1.43899,146.1995,-16.93814,189775,58959,19
123,1647,2003,GBR,GBR,36.3,33.1,0.67795,145.84867,-16.006,70553,1418,0
124,1651,2004,SW Pacific,Indo-Pacific,6.9,28.1,-0.48032,179.10461,-16.23011,138756,56568,1929
125,1666,2005,Philippines_Spra,Indo-Pacific,0.6,12.5,-0.16442,124.10708,10.99072,5222193,901709,252015
126,1667,2005,Philippines_Spra,Indo-Pacific,1.3,10,-0.03912,124.10656,10.98533,5238700,901709,252015
127,1668,2005,Philippines_Spra,Indo-Pacific,3.1,5.6,0.2161,124.10697,10.99161,5222193,901709,252015
128,1669,2005,Philippines_Spra,Indo-Pacific,11.9,13.8,0.30485,124.10431,10.98617,5217777,893959,255095
129,1670,2002,Philippines_Spra,Indo-Pacific,8.8,47.5,-1.14232,124.02139,10.40222,6312270,2937854,1899009
130,1672,2004,Western Pacific,Indo-Pacific,30,21.9,0.82489,145.69689,15.16153,84731,84731,83219
131,1676,2003,Western Pacific,Indo-Pacific,20.6,52.5,-0.78911,145.73808,15.10461,84731,84731,84731
132,1677,2001,Western Pacific,Indo-Pacific,10,50.9,-1.21757,145.73694,15.10194,84731,84731,84731
133,1679,2005,Philippines_Spra,Indo-Pacific,4.4,56.9,-1.70564,122.38086,9.87431,2684085,388241,125704
134,1680,2005,Philippines_Spra,Indo-Pacific,7.5,38.1,-0.83777,122.37403,9.867,2643051,391292,116206
135,1681,2003,Philippines_Spra,Indo-Pacific,24.4,68.1,-1.22003,123.27242,9.07117,2544135,602287,158595
136,1682,2005,Philippines_Spra,Indo-Pacific,16.3,18.1,0.33716,123.81671,10.98992,5636669,871760,301822
137,1683,2006,Philippines_Spra,Indo-Pacific,3.8,44.4,-1.25165,123.82408,9.57461,4876122,807782,243134
138,1685,2004,South China Sea,Indo-Pacific,3.1,18.1,-0.26665,114.60506,22.52414,24502694,8424209,1572337
139,1686,2004,Western Pacific,Indo-Pacific,34.4,37.5,0.42273,144.83361,13.59472,176902,172689,146647
140,1687,2004,Western Pacific,Indo-Pacific,22.5,15,0.74537,144.25222,13.59556,172689,8662,0
141,1689,2002,GBR,GBR,28.8,15,1.0329,145.99528,-16.42122,165714,339,0
